pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
Kepler-192 d,Transit,2016,0,6.47027579,1.02,1.04,5.39,Kepler-192,651.674,0.9400000000000001,,-0.094,5487.0,0.13,6.76
Kepler-193 c,Transit,2014,0,50.697494,2.75,8.0,2.11,Kepler-193,1009.1,1.1400000000000001,,0.1,6335.0,0.14,0.3
Kepler-1582 b,Transit,2016,0,4.83817712,1.49,2.83,4.7,Kepler-1582,78.8906,0.28,,-2.3890000000000002,3208.0,0.48,7.76
Kepler-1583 b,Transit,2016,0,9.32807355,0.6,0.156,3.9699999999999998,Kepler-1583,403.933,0.9400000000000001,,-0.018000000000000002,5645.0,-0.07,4.27
Kepler-1597 b,Transit,2016,0,2.94654179,1.06,1.2,5.54,Kepler-1597,1221.05,1.25,,0.434,6377.0,0.02,2.4
Kepler-1633 b,Transit,2016,0,186.404271,1.58,3.12,4.35,Kepler-1633,1114.91,1.2,,0.646,6256.0,0.02,2.8200000000000003
Kepler-1634 b,Transit,2016,0,374.876239,3.19,10.3,1.74,Kepler-1634,617.339,0.92,,-0.265,5474.0,0.02,4.47
Kepler-1635 b,Transit,2016,0,469.63111,3.64,12.9,1.47,Kepler-1635,1069.45,0.89,,-0.28,5347.0,0.06,4.9
Kepler-201 c,Transit,2014,0,151.884058,2.85,8.5,2.02,Kepler-201,636.445,1.18,,0.34800000000000003,6065.0,-0.044,2.19
Kepler-202 b,Transit,2014,0,4.069427,1.63,3.29,4.17,Kepler-202,285.111,0.68,,-0.638,4668.0,-0.263,3.24
Kepler-204 b,Transit,2014,0,14.400974,2.5300000000000002,6.94,2.35,Kepler-204,686.723,1.03,,0.03,5812.0,0.01,3.3
Kepler-207 b,Transit,2014,0,1.6118649999999999,1.57,3.09,4.39,Kepler-207,875.519,1.04,,0.534,5920.0,0.18,4.17
Kepler-287 c,Transit,2014,0,44.851895999999996,3.26,10.7,1.7,Kepler-287,835.86,0.97,K7 V,-0.134,5806.0,0.117,7.6
Kepler-289 d,Transit,2014,0,66.0634,2.68,4.0,1.2,Kepler-289,704.438,1.08,,0.061,5990.0,0.05,0.65
Kepler-29 b,Transit,2011,0,10.33974,2.55,5.0,1.65,Kepler-29,832.532,0.76,,-0.297,5378.0,-0.44,0.3
Kepler-225 b,Transit,2014,0,6.738975,1.2,1.87,5.95,Kepler-225,561.101,0.59,M1 V,-0.996,3682.0,-0.04,2.88
Kepler-1521 b,Transit,2016,0,47.14840805,2.5,6.8,2.39,Kepler-1521,206.983,0.81,,-0.5690000000000001,5042.0,-0.05,4.47
Kepler-1535 b,Transit,2016,0,138.9442,2.55,7.04,2.33,Kepler-1535,897.733,1.08,,0.165,6021.0,0.0,3.47
Kepler-1605 b,Transit,2016,0,85.7565495,1.08,1.28,5.58,Kepler-1605,546.23,0.86,,0.429,5280.0,-0.01,4.68
Kepler-1617 b,Transit,2016,0,27.4785572,1.2,1.87,5.95,Kepler-1617,898.31,1.15,,0.341,6167.0,0.01,3.02
KMT-2020-BLG-0414L b,Microlensing,2021,0,,0.997,0.9600000000000001,5.32,KMT-2020-BLG-0414L,800.0,0.26,,,,,
KMT-2020-BLG-0414L c,Microlensing,2021,0,,12.2,4894.55747,14.8,KMT-2020-BLG-0414L,800.0,0.26,,,,,
Kepler-152 c,Transit,2014,0,88.255055,2.39,6.3,2.54,Kepler-152,441.09,0.8300000000000001,,-0.465,5088.0,-0.16,2.0
Kepler-1527 b,Transit,2016,0,160.129918,4.77,20.4,1.03,Kepler-1527,1842.13,1.21,,0.482,6224.0,0.07,2.8200000000000003
Kepler-1538 b,Transit,2016,0,175.138819,2.8200000000000003,8.35,2.05,Kepler-1538,1125.3,1.03,,-0.085,5837.0,0.02,4.37
Kepler-1629 b,Transit,2016,0,3.8759580700000003,0.77,0.381,4.59,Kepler-1629,336.09,1.01,,-0.134,5776.0,0.05,4.27
Kepler-163 b,Transit,2014,0,7.810937,1.05,1.16,5.51,Kepler-163,689.814,0.88,,-0.138,5776.0,0.14100000000000001,4.27
Kepler-252 c,Transit,2014,0,10.848463,2.15,5.27,2.91,Kepler-252,379.424,0.61,M0 V,-0.786,4208.0,-0.13,13.9
